"Gene ID"	"Mouse_resection_12hr_1"	"Mouse_resection_12hr_2"	"Mouse_resection_12hr_3"	"Mouse_resection_24hr_1"	"Mouse_resection_24hr_2"	"Mouse_resection_24hr_3"	"Mouse_resection_48hr_1"	"Mouse_resection_48hr_2"	"Mouse_resection_48hr_3"	"Mouse_sham_12hr_1"	"Mouse_sham_12hr_2"	"Mouse_sham_12hr_3"	"Mouse_sham_24hr_1"	"Mouse_sham_24hr_2"	"Mouse_sham_24hr_3"	"Mouse_sham_48hr_1"	"Mouse_sham_48hr_2"	"Mouse_sham_48hr_3"
"ENSMUSG00000000001"	1469	1402	1981	1945	810	846	2378	2261	4067	2966	1031	1190	1787	2027	1068	2792	655	2768
"ENSMUSG00000000003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000028"	127	88	72	119	26	79	316	286	419	389	146	125	284	466	156	518	141	588
"ENSMUSG00000000031"	4434	9529	13500	8421	3403	4792	4705	7562	10271	17898	4462	4202	6203	9211	4238	9318	1730	12202
"ENSMUSG00000000037"	32	56	79	54	33	45	163	131	184	211	68	88	93	274	91	202	60	225
"ENSMUSG00000000049"	0	2	0	1	0	0	3	0	1	0	0	1	1	0	0	0	0	0
"ENSMUSG00000000056"	633	1031	1500	1026	541	670	1276	1643	1732	1948	749	573	1583	1825	959	2064	392	2012
"ENSMUSG00000000058"	1273	2046	3634	1737	1160	844	3513	2923	4059	3476	1420	1635	2377	3369	1691	4415	1061	3904
"ENSMUSG00000000078"	1734	2456	3867	2152	1082	1458	2323	2427	4217	3848	1206	1219	2004	2788	1549	2873	725	3493
"ENSMUSG00000000085"	613	1027	1338	900	431	722	1203	1471	1631	2149	660	566	1175	1559	795	1777	320	2166
"ENSMUSG00000000088"	18465	25587	28045	28471	12407	14836	42694	36040	64448	56145	21924	24445	28822	57714	28138	37273	14509	54247
"ENSMUSG00000000093"	34	101	69	74	26	52	59	105	153	198	45	59	118	118	34	144	15	142
"ENSMUSG00000000094"	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0
"ENSMUSG00000000103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000120"	12	15	21	23	6	10	41	77	66	122	25	17	62	70	22	43	5	74
"ENSMUSG00000000125"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000126"	28	89	45	51	24	48	78	53	124	119	26	38	37	70	33	100	21	83
"ENSMUSG00000000127"	188	281	300	284	144	309	439	527	713	762	240	292	403	591	319	542	117	670
"ENSMUSG00000000131"	1225	1682	1766	1343	765	1643	1991	2324	2793	3856	1240	1129	1921	2778	1306	2491	609	3101
"ENSMUSG00000000134"	371	455	517	640	268	259	626	619	1105	980	325	307	468	686	311	830	198	730
"ENSMUSG00000000142"	20	26	25	8	9	21	14	10	37	33	9	11	16	19	11	28	2	41
"ENSMUSG00000000148"	195	265	376	258	143	229	332	287	433	608	179	162	308	399	175	383	96	454
"ENSMUSG00000000149"	760	1253	1603	1561	470	886	1623	1969	2775	2668	1006	992	1307	2138	950	2022	497	3045
"ENSMUSG00000000154"	5	1	0	4	2	13	5	6	13	10	3	2	2	6	6	0	3	6
"ENSMUSG00000000157"	5	9	6	3	1	0	2	3	5	4	1	4	1	4	1	3	1	5
"ENSMUSG00000000159"	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000167"	13	19	25	25	17	15	35	37	47	37	19	23	26	31	20	28	12	47
"ENSMUSG00000000168"	2027	2907	3969	3137	1349	2007	6470	5263	8360	7501	2937	3537	4054	6456	3308	6442	1646	7886
"ENSMUSG00000000171"	3495	5364	7334	5922	2231	3034	8941	8810	12408	12982	4759	5201	7625	10019	5722	11408	2330	13504
"ENSMUSG00000000182"	2	9	2	9	2	6	1	2	0	0	0	0	0	0	0	0	1	0
"ENSMUSG00000000183"	3	3	0	4	2	3	9	4	6	13	7	4	6	20	0	3	4	11
"ENSMUSG00000000184"	2262	2850	5683	2126	1794	1979	4558	4756	6855	8570	2800	3028	5266	8860	3439	7909	1935	9729
"ENSMUSG00000000194"	607	811	895	700	352	597	978	1129	1576	1899	705	675	1005	1328	652	1349	302	1686
"ENSMUSG00000000197"	0	0	1	3	0	1	3	0	1	0	0	1	3	1	0	4	0	1
"ENSMUSG00000000202"	0	0	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	3
"ENSMUSG00000000204"	58	14	47	31	14	122	42	27	55	46	14	15	2	18	4	4	4	2
"ENSMUSG00000000214"	4	5	13	6	0	1	0	2	1	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000216"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	15	23	27	16	5	10	15	15	40	28	9	6	21	23	10	17	5	27
"ENSMUSG00000000244"	57	4	5	22	6	9	14	18	34	9	4	2	4	10	5	8	4	12
"ENSMUSG00000000247"	1	0	1	5	0	1	5	2	11	3	0	0	4	3	5	11	1	8
"ENSMUSG00000000248"	0	0	0	0	0	0	2	3	4	2	0	0	0	0	0	0	0	0
"ENSMUSG00000000253"	518	1157	1149	1113	394	1048	1059	1406	1906	3041	731	756	1489	1824	861	2221	362	2265
"ENSMUSG00000000263"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000266"	870	1215	1835	1328	1068	955	2129	2468	2812	2511	997	1021	1699	2538	1325	2732	783	2822
"ENSMUSG00000000275"	1347	1587	2596	1394	768	1150	1841	1662	2475	2716	1018	1036	1582	2604	935	2182	512	2366
"ENSMUSG00000000276"	733	779	683	674	342	403	689	675	923	1724	748	651	667	915	804	1674	364	1414
"ENSMUSG00000000278"	129	224	200	410	101	159	310	455	801	588	164	205	336	486	193	500	98	650
"ENSMUSG00000000282"	186	311	409	316	90	185	257	378	483	644	216	170	289	353	150	398	65	412
"ENSMUSG00000000290"	368	51	89	331	74	369	122	201	476	117	40	22	22	34	50	51	17	95
"ENSMUSG00000000295"	71	109	84	121	30	54	123	137	181	204	80	111	114	157	88	106	45	197
"ENSMUSG00000000296"	29	63	44	24	9	22	53	84	125	62	27	51	49	82	40	73	12	96
"ENSMUSG00000000301"	5	9	11	9	0	6	21	10	22	9	5	8	12	8	2	2	2	11
"ENSMUSG00000000303"	82	9	7	4	2	3	0	2	3	3	2	2	1	0	1	0	0	5
"ENSMUSG00000000305"	47	23	15	12	6	8	13	24	34	50	14	12	25	34	5	42	11	63
"ENSMUSG00000000308"	15	4	4	6	2	2	1	1	6	1	1	3	5	2	2	6	0	9
"ENSMUSG00000000317"	255	463	476	417	186	288	628	675	933	1299	381	355	690	897	364	1151	202	1208
"ENSMUSG00000000318"	8	2	8	21	7	7	18	17	61	8	2	5	5	11	4	63	6	68
"ENSMUSG00000000320"	21	33	67	86	40	69	76	77	113	153	39	42	77	100	48	124	15	137
"ENSMUSG00000000325"	1	4	3	2	0	2	1	4	4	2	1	5	0	1	1	2	1	3
"ENSMUSG00000000326"	0	0	0	3	0	1	0	1	0	1	1	1	0	0	1	0	0	0
"ENSMUSG00000000339"	305	410	293	412	137	306	429	478	802	776	291	285	380	517	264	534	84	644
"ENSMUSG00000000340"	514	578	1037	572	311	392	986	889	1198	1303	471	540	762	980	654	1218	258	1211
"ENSMUSG00000000346"	2137	2673	3713	3238	1721	1503	3821	3401	5341	5617	1738	1602	3464	4192	2304	5343	1086	5396
"ENSMUSG00000000355"	204	174	386	325	165	210	483	405	731	595	215	234	303	502	276	664	172	602
"ENSMUSG00000000359"	61	102	136	140	48	58	115	141	257	306	79	77	145	165	75	180	44	298
"ENSMUSG00000000365"	19	15	12	10	9	9	71	16	24	28	10	27	32	26	11	42	3	57
"ENSMUSG00000000374"	708	1244	1664	887	383	875	1304	1507	2036	2324	843	882	1165	1681	854	1780	378	2294
"ENSMUSG00000000378"	152	188	187	170	54	143	138	225	270	303	96	103	115	186	98	184	34	303
"ENSMUSG00000000381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000384"	437	889	890	469	161	343	758	848	1280	1330	475	574	617	904	419	773	151	1470
"ENSMUSG00000000385"	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000386"	44	6	3	6	1	3	13	13	27	7	0	0	1	4	3	7	3	2
"ENSMUSG00000000392"	89	123	218	170	76	57	262	293	431	412	129	109	235	359	153	433	85	400
"ENSMUSG00000000394"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000399"	1473	3002	2961	2707	849	1840	3123	3597	5396	6380	1984	2283	3146	4878	2146	4124	806	6128
"ENSMUSG00000000402"	4	2	9	1	0	1	5	8	23	8	6	2	11	22	4	23	2	9
"ENSMUSG00000000409"	2398	27	16	26	5	16	28	27	28	76	20	11	15	16	11	42	5	35
"ENSMUSG00000000411"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000416"	61	76	175	90	89	82	119	115	193	280	80	114	190	202	90	286	35	307
"ENSMUSG00000000420"	1314	2043	2655	1427	734	1106	2567	2655	4208	3668	1247	1395	1855	2858	1366	2656	691	3517
"ENSMUSG00000000435"	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"ENSMUSG00000000439"	457	657	656	870	358	456	1115	1027	1621	1434	581	542	993	1278	554	1413	295	1517
"ENSMUSG00000000440"	90	200	254	142	78	77	125	120	156	232	82	61	111	119	68	136	29	153
"ENSMUSG00000000441"	1972	2567	4423	2348	1177	1603	3576	3520	4659	6294	2232	2125	3194	4595	2318	4385	997	5405
"ENSMUSG00000000486"	351	52	73	54	18	77	57	69	116	219	30	34	71	129	29	118	23	175
"ENSMUSG00000000489"	373	690	505	633	168	416	622	846	1020	1103	353	389	657	869	327	888	172	1210
"ENSMUSG00000000530"	213	421	716	420	165	310	403	519	751	855	262	278	412	575	225	641	123	716
"ENSMUSG00000000531"	53	98	93	73	21	36	23	58	86	164	49	37	90	80	35	107	18	179
"ENSMUSG00000000532"	403	696	723	532	265	554	675	740	935	1060	456	360	628	778	399	750	159	1021
"ENSMUSG00000000538"	876	1447	1578	1275	535	994	1757	1949	2689	3319	1024	956	1312	1947	1065	2286	474	2566
"ENSMUSG00000000544"	1	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
"ENSMUSG00000000552"	94	184	268	171	56	90	178	184	372	514	127	112	185	265	90	242	57	354
"ENSMUSG00000000555"	2207	3274	3622	3434	1111	2162	2554	3394	6435	6041	1812	1807	2435	3345	1543	3344	706	4792
"ENSMUSG00000000560"	1	0	1	0	0	0	0	1	4	0	0	0	0	0	0	3	0	1
"ENSMUSG00000000561"	348	523	955	395	195	272	637	542	876	808	279	348	440	610	369	891	166	849
"ENSMUSG00000000562"	14	9	3	11	2	1	7	5	12	3	1	4	3	6	0	1	1	6
"ENSMUSG00000000563"	10987	11769	12963	17849	6335	10127	26950	22851	37429	37169	14697	18132	20360	37892	15774	30037	7739	35325
"ENSMUSG00000000567"	178	305	444	283	136	153	553	514	940	738	251	261	355	545	236	602	110	709
"ENSMUSG00000000568"	1487	2042	2438	1624	656	1055	2731	2512	4268	4031	1411	1505	2210	2999	1578	3492	675	3985
"ENSMUSG00000000579"	4	8	2	9	9	8	22	10	17	26	10	6	21	18	13	24	9	8
"ENSMUSG00000000581"	896	1595	1481	1140	402	895	1172	1557	2469	2312	797	865	1192	1665	706	1654	290	1648
"ENSMUSG00000000594"	250	265	333	571	199	351	450	542	1077	591	184	191	319	439	287	609	115	672
"ENSMUSG00000000600"	757	951	1593	794	519	619	1439	1416	1836	2183	769	836	1130	1709	1094	1875	487	1859
"ENSMUSG00000000605"	1255	1455	1862	2009	937	1822	2938	2983	4279	3729	1267	1538	2027	3127	1522	3215	764	3605
"ENSMUSG00000000606"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000617"	2	4	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSMUSG00000000627"	14	2	1	0	1	1	2	2	6	0	0	0	0	6	2	1	1	2
"ENSMUSG00000000628"	1479	2373	2835	1952	726	2273	3497	3394	5232	4638	1589	1773	3343	5212	1645	5268	933	4577
"ENSMUSG00000000631"	2046	4519	5360	2166	1040	2125	3093	4360	5539	8424	2317	2554	3401	4980	2153	3824	807	7000
"ENSMUSG00000000632"	1	0	0	0	0	0	2	0	1	1	2	0	1	1	0	0	0	0
"ENSMUSG00000000673"	3	3	3	2	2	4	0	3	3	2	0	0	0	0	0	2	0	2
"ENSMUSG00000000682"	46	3	4	33	8	9	14	14	26	6	3	3	2	4	8	8	5	5
"ENSMUSG00000000686"	18	24	16	15	7	5	16	19	31	17	5	5	14	13	7	12	4	14
"ENSMUSG00000000690"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000693"	26	58	89	84	38	66	97	78	197	175	50	49	62	108	45	145	28	146
"ENSMUSG00000000701"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000706"	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
"ENSMUSG00000000708"	1281	1560	2053	1691	1072	938	2976	2612	3390	3680	1337	1459	1707	3179	1427	2683	807	3698
"ENSMUSG00000000711"	533	732	1080	912	425	561	939	1079	1564	1635	613	570	959	1411	684	1690	308	1672
"ENSMUSG00000000724"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000730"	1	1	2	5	2	4	2	5	4	1	0	0	3	1	1	0	1	0
"ENSMUSG00000000731"	28	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1
"ENSMUSG00000000732"	78	108	114	102	33	87	120	139	196	165	69	39	69	102	62	97	44	150
"ENSMUSG00000000738"	558	1192	1273	893	331	864	1013	1179	1747	2223	640	699	1046	1478	799	1474	279	2061
"ENSMUSG00000000739"	0	3	1	5	2	1	4	3	6	3	4	3	7	2	0	4	2	1
"ENSMUSG00000000740"	348	390	369	694	100	197	507	421	598	1011	311	365	412	572	356	571	104	1149
"ENSMUSG00000000743"	245	403	318	471	142	239	381	513	724	743	252	229	319	488	197	471	94	737
"ENSMUSG00000000751"	1014	1222	2169	1387	482	871	2383	2210	3301	2913	1155	1105	1938	2724	1510	3188	666	3866
"ENSMUSG00000000753"	41	113	95	128	46	84	193	161	481	211	37	64	132	134	48	233	36	311
"ENSMUSG00000000759"	576	669	785	712	368	451	972	1134	1600	1700	598	564	1046	1446	662	1658	371	1768
"ENSMUSG00000000766"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000776"	78	192	101	148	28	102	110	179	280	363	81	100	129	162	82	150	29	212
"ENSMUSG00000000782"	4423	81	94	61	34	29	87	89	152	239	56	60	72	125	41	116	26	136
"ENSMUSG00000000787"	3770	5140	5930	3920	2322	2953	6743	6358	12540	8140	2998	3158	5320	7183	2966	9397	2137	8632
"ENSMUSG00000000791"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000792"	2	1	1	0	0	0	0	1	1	4	0	0	3	3	0	0	0	4
"ENSMUSG00000000794"	261	371	551	206	176	351	672	706	1011	1425	377	523	674	917	395	1473	309	1238
"ENSMUSG00000000804"	827	1049	1445	665	506	748	1227	1254	1906	2165	770	832	1012	1711	924	1737	402	1783
"ENSMUSG00000000805"	205	395	391	585	138	475	204	176	205	1029	254	233	332	331	213	322	57	490
"ENSMUSG00000000811"	426	412	430	556	214	268	670	699	948	1280	498	503	600	903	426	727	174	976
"ENSMUSG00000000817"	1	0	0	0	1	0	1	1	0	2	1	1	0	0	0	0	0	0
"ENSMUSG00000000823"	622	825	898	561	241	519	728	1009	1174	1630	528	582	676	1044	348	989	253	1337
"ENSMUSG00000000826"	1778	2766	2654	1764	751	2247	2766	3086	4129	5161	1659	1768	2333	3180	1595	3060	656	4202
"ENSMUSG00000000827"	640	1090	1166	885	366	516	1065	1139	1408	1918	629	584	905	1183	558	1548	304	1658
"ENSMUSG00000000838"	1594	1745	3221	1924	1080	908	3150	3001	4885	3941	1431	1725	2284	3620	1721	3401	906	3572
"ENSMUSG00000000861"	149	173	276	194	108	155	324	249	315	437	152	161	268	418	221	382	76	379
"ENSMUSG00000000869"	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1
"ENSMUSG00000000876"	123	175	221	185	84	194	225	198	272	432	156	111	197	309	150	394	66	380
"ENSMUSG00000000881"	166	203	379	202	86	199	202	258	384	582	194	163	274	271	207	353	74	403
"ENSMUSG00000000884"	35	48	61	58	18	13	36	63	84	96	28	29	76	102	43	83	21	100
"ENSMUSG00000000889"	4	5	6	16	2	6	22	22	23	33	17	5	31	16	5	26	4	31
"ENSMUSG00000000901"	86	98	142	142	66	118	156	221	252	387	117	83	155	313	99	241	73	290
"ENSMUSG00000000902"	440	522	654	647	193	335	594	882	1272	1182	448	492	561	906	420	673	177	1298
"ENSMUSG00000000903"	1	0	3	2	0	3	0	0	0	1	2	1	0	1	0	0	0	2
"ENSMUSG00000000915"	245	428	327	371	132	267	385	516	614	835	237	252	366	519	233	398	86	739
"ENSMUSG00000000916"	96	195	364	101	64	109	162	177	209	297	116	106	204	239	86	278	46	319
"ENSMUSG00000000934"	18	52	50	63	18	36	54	94	92	135	36	57	76	76	38	84	13	140
"ENSMUSG00000000938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000000942"	4	2	19	2	1	3	3	5	5	27	0	1	1	7	0	7	1	6
"ENSMUSG00000000948"	151	160	698	35	50	140	245	198	286	413	154	236	240	282	221	264	46	321
"ENSMUSG00000000957"	1645	2443	3054	3837	1254	1187	3381	3465	7489	4833	1315	1350	2681	2475	1320	4331	685	4529
"ENSMUSG00000000958"	67	54	78	161	43	63	76	81	216	167	46	30	64	86	40	111	11	105
"ENSMUSG00000000959"	1334	2386	2610	2154	575	1550	2093	2672	3658	5541	1658	1942	2741	4210	1666	3257	656	4026
"ENSMUSG00000000976"	185	267	350	184	101	174	363	378	545	682	181	211	270	423	240	364	112	549
"ENSMUSG00000000982"	15	11	16	36	9	29	11	11	29	13	2	1	0	1	1	2	1	2
"ENSMUSG00000000983"	6	2	2	2	0	1	0	2	4	2	2	0	6	2	0	3	0	12
"ENSMUSG00000001014"	2	0	4	6	0	1	3	7	4	2	0	2	1	7	3	1	0	5
"ENSMUSG00000001016"	511	629	898	792	244	373	1143	966	1510	1399	500	538	651	1056	514	1218	268	1458
"ENSMUSG00000001017"	1314	1576	1876	1608	798	1321	2765	2372	3410	3611	1404	1212	1994	2619	1353	3442	726	3768
"ENSMUSG00000001018"	243	280	593	329	240	254	505	488	740	907	328	327	475	652	296	802	150	580
"ENSMUSG00000001020"	4	6	3	4	3	1	5	6	5	11	0	1	0	2	2	7	0	4
"ENSMUSG00000001021"	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
"ENSMUSG00000001023"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001025"	1718	489	2537	4912	1072	8893	2027	2219	6223	4130	957	839	1230	2122	968	1646	508	1340
"ENSMUSG00000001027"	9	49	49	27	28	39	169	111	169	111	87	48	116	94	33	209	42	212
"ENSMUSG00000001029"	143	226	220	226	79	121	251	260	321	576	157	176	246	386	164	343	66	599
"ENSMUSG00000001034"	188	233	257	321	102	175	242	271	473	530	155	146	258	376	146	288	61	506
"ENSMUSG00000001036"	339	684	1250	658	248	506	766	693	966	1453	477	416	705	1099	478	1039	196	1328
"ENSMUSG00000001039"	2	6	11	7	7	7	6	12	5	21	8	2	5	8	5	20	2	12
"ENSMUSG00000001052"	1209	1560	2154	1642	793	816	2160	2172	3311	3097	1025	1210	1804	2695	1154	2987	612	2892
"ENSMUSG00000001053"	112	179	213	151	63	111	203	199	298	476	148	141	213	315	109	311	55	479
"ENSMUSG00000001054"	332	342	290	407	96	264	362	438	611	882	286	300	389	618	231	574	83	636
"ENSMUSG00000001056"	95	83	113	132	30	54	95	107	157	169	56	55	72	112	40	142	16	179
"ENSMUSG00000001062"	155	295	270	251	88	278	279	382	536	747	214	209	321	452	162	402	82	522
"ENSMUSG00000001065"	305	545	678	491	162	311	597	573	991	1161	334	405	543	735	346	794	170	793
"ENSMUSG00000001076"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001082"	97	106	136	141	47	90	129	138	290	215	81	60	104	156	52	140	38	259
"ENSMUSG00000001089"	1085	1958	2389	1247	816	997	2713	2453	3423	3471	1307	1398	1915	2637	1516	2783	718	3442
"ENSMUSG00000001095"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001098"	1430	1725	1496	2347	750	1252	2100	2771	4535	3239	1099	1340	1624	2594	1026	1993	507	3349
"ENSMUSG00000001100"	1293	2383	2543	1957	553	1364	2166	2804	3936	4610	1468	1730	2670	3067	1471	3642	583	4876
"ENSMUSG00000001103"	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
"ENSMUSG00000001105"	246	429	329	462	110	319	469	614	741	969	351	294	424	487	276	643	125	850
"ENSMUSG00000001119"	2040	3411	3485	5134	1563	2330	4226	4725	8273	8811	2307	2386	4321	4635	2407	4981	1013	6882
"ENSMUSG00000001120"	43	45	62	69	17	24	53	65	108	143	32	26	55	79	40	67	6	102
"ENSMUSG00000001123"	610	610	899	587	257	268	546	577	806	1105	343	336	571	976	415	935	147	977
"ENSMUSG00000001127"	788	1031	1811	1012	485	977	1402	1325	1817	2291	876	762	1097	1643	783	1711	440	2107
"ENSMUSG00000001128"	96	69	120	165	33	109	151	164	436	183	69	39	78	112	54	123	35	150
"ENSMUSG00000001131"	479	350	959	1052	237	758	322	457	997	812	234	63	129	167	212	234	76	329
"ENSMUSG00000001134"	125	130	133	236	75	69	296	256	444	437	153	180	171	413	153	365	84	371
"ENSMUSG00000001138"	454	536	1109	726	296	681	787	737	1027	1676	475	550	695	1297	524	1083	280	1124
"ENSMUSG00000001143"	283	398	572	467	185	376	590	615	873	796	342	264	527	876	368	725	163	958
"ENSMUSG00000001150"	456	786	905	471	258	439	713	862	1029	1466	482	471	628	921	444	925	180	1270
"ENSMUSG00000001151"	448	717	648	421	222	481	703	745	983	1279	420	381	627	962	430	885	185	1272
"ENSMUSG00000001155"	22	36	36	11	5	29	43	34	43	69	31	32	18	23	32	38	6	53
"ENSMUSG00000001156"	247	229	421	260	94	259	205	227	441	463	126	146	240	297	143	325	70	265
"ENSMUSG00000001157"	337	369	521	439	204	232	745	581	941	999	300	372	526	706	398	813	215	891
"ENSMUSG00000001158"	305	440	388	505	156	365	480	566	932	1251	315	324	420	750	315	640	145	847
"ENSMUSG00000001166"	19	28	29	25	5	12	16	26	19	30	13	11	18	25	15	17	1	28
"ENSMUSG00000001168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001173"	599	965	1212	646	438	546	1131	1187	1727	1575	592	624	789	1123	724	1284	308	1583
"ENSMUSG00000001175"	4508	5743	8374	7250	2468	3188	7660	8563	14391	12788	4313	4594	6076	8590	4642	9411	1903	13230
"ENSMUSG00000001211"	1558	3832	3282	2567	1218	2873	4247	4732	5782	6400	2622	2485	2664	3686	2182	4707	1122	6535
"ENSMUSG00000001225"	2	1	0	3	1	1	5	18	8	18	0	16	14	34	5	39	7	43
"ENSMUSG00000001227"	137	186	320	207	66	149	95	151	223	269	93	86	155	161	67	191	42	275
"ENSMUSG00000001228"	378	222	329	340	94	184	822	730	1248	927	338	288	644	1160	435	1126	290	1754
"ENSMUSG00000001229"	261	492	497	430	145	333	453	595	912	1024	314	340	515	672	254	601	118	898
"ENSMUSG00000001240"	505	743	1008	1054	311	548	643	712	1035	2030	512	475	821	1240	479	1141	229	1223
"ENSMUSG00000001247"	29	37	36	29	5	23	15	27	47	26	20	11	11	10	4	24	5	47
"ENSMUSG00000001248"	527	700	608	785	227	484	458	653	967	1501	389	438	663	998	340	915	187	1162
"ENSMUSG00000001249"	6	19	36	17	9	14	18	16	22	67	11	16	17	24	10	22	5	24
"ENSMUSG00000001260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000001270"	1092	1188	1414	1424	272	695	2054	1910	4700	4930	1494	2385	2976	3901	1670	2369	482	3876
"ENSMUSG00000001280"	1124	1235	2024	1058	837	898	2099	1893	2862	2923	1011	983	1603	2445	1228	2807	700	2739
"ENSMUSG00000001281"	96	6	10	13	7	35	10	12	29	21	5	3	8	2	8	4	3	8
"ENSMUSG00000001285"	168	203	201	268	75	143	275	302	370	461	176	155	284	406	167	367	68	510
"ENSMUSG00000001288"	96	132	123	169	55	105	122	209	300	434	136	98	238	220	76	213	43	323
"ENSMUSG00000001289"	398	496	1106	769	240	259	785	771	1084	1303	429	481	849	912	533	1484	227	1510
"ENSMUSG00000001300"	555	655	1053	726	347	366	782	810	1423	1324	435	440	696	908	414	1060	206	1272
"ENSMUSG00000001305"	91	133	126	126	53	53	129	187	268	257	72	92	86	114	67	78	21	221
"ENSMUSG00000001313"	35	51	63	47	22	18	31	51	66	105	29	35	78	85	29	96	10	82
"ENSMUSG00000001323"	297	411	506	318	174	395	661	660	896	1059	386	365	532	946	445	743	208	829
"ENSMUSG00000001333"	53	77	91	99	35	68	220	214	321	318	121	108	141	189	101	227	49	229
"ENSMUSG00000001334"	924	1921	1949	1473	405	1406	3582	3441	4903	3886	1508	1709	2324	3588	1408	3545	610	4946
"ENSMUSG00000001348"	109	14	28	84	20	44	41	33	106	49	14	9	25	17	22	17	13	57
"ENSMUSG00000001349"	40	98	101	214	30	26	36	98	234	158	26	26	56	42	48	44	13	79
"ENSMUSG00000001366"	435	801	949	675	246	480	911	994	1181	1767	519	540	745	1142	597	1395	272	1733
"ENSMUSG00000001376"	441	597	859	658	326	401	929	866	1322	1263	452	454	754	1084	550	1361	280	1290
"ENSMUSG00000001380"	450	692	685	647	176	530	593	753	1259	1369	469	446	674	823	416	864	151	1243
"ENSMUSG00000001383"	333	390	542	437	161	339	495	523	824	967	303	313	442	646	292	708	119	832
"ENSMUSG00000001403"	391	637	695	254	92	171	616	447	904	1217	413	491	453	805	284	832	173	1603
"ENSMUSG00000001415"	1031	1582	2193	1026	428	918	1618	1856	2373	3284	1055	1115	1265	2089	913	1826	395	2696
"ENSMUSG00000001416"	1556	1835	1974	2306	646	1515	2452	2888	4446	4083	1581	1840	1810	2826	1459	2413	570	4049
"ENSMUSG00000001418"	157	316	459	367	173	197	319	370	558	587	168	134	304	405	216	650	94	575
"ENSMUSG00000001419"	1627	3065	3099	2093	870	1892	2783	3406	3841	5804	2081	1736	2721	3548	1777	4532	880	4895
"ENSMUSG00000001420"	9	9	9	11	1	8	7	11	17	22	9	10	7	16	14	16	1	22
"ENSMUSG00000001424"	558	827	955	1010	327	513	859	1119	1724	1810	642	617	766	1220	598	1106	244	1633
"ENSMUSG00000001435"	1179	1401	1806	2043	815	1168	1324	1400	2773	4080	1347	1135	1840	2557	1088	2333	427	3545
"ENSMUSG00000001436"	65	84	88	87	39	102	95	116	122	156	61	38	64	105	47	108	26	156
"ENSMUSG00000001440"	4464	5953	7040	4866	1950	4554	8011	8977	14203	14205	4706	5157	6763	11547	4666	9277	2276	14149
"ENSMUSG00000001441"	1460	2168	2998	1919	1045	1464	2948	3149	4322	5259	1687	1927	2774	4343	2020	3907	956	3959
